STUDENT IDENTIFIER,STDNT_AGE,STDNT_GENDER,STDNT_BACKGROUND,IN_STATE_FLAG,INTERNATIONAL_STS,STDNT_TEST_ENTRANCE_COMB,FIRST_TERM,SECOND_TERM,HOUSING_STS,RETURNED_2ND_YR,DISTANCE_FROM_HOME,HIGH_SCHL_GPA,HIGH_SCHL_NAME,FATHER_HI_EDU_DESC,MOTHER_HI_EDU_DESC,DEGREE_GROUP_DESC,FIRST_TERM_ATTEMPT_HRS,FIRST_TERM_EARNED_HRS,SECOND_TERM_ATTEMPT_HRS,SECOND_TERM_EARNED_HRS,GROSS_FIN_NEED,COST_OF_ATTEND,EST_FAM_CONTRIBUTION,UNMET_NEED,Fall_GPA,Spring_GPA,Passed_Count,Failed_Count,Incomplete_Count,First_Completion_Rate,Second_Completion_Rate,Total_Attempt_Hours,Total_Earned_Hours,Total_Completion_Rate,Need_Coverage_Ratio,Unmet_Need_Ratio,Net_Cost,Financial_Difficulty,Major_Category
7990512,18,M,BGD 1,Y,N,950.0,Fall 2009,Spring 2010,On Campus,1,138.0,3.68,SCHOOL 431,High School,College/Beyond,Bachelors,15,15,12.0,12.0,0,1418100,1868640,-447420.0,3.0,2.3333333333333335,6,0,0,1.0,1.0,27.0,27.0,1.0,1.3177067907763909,-0.31550666384599113,-450540,-447420.0,Other
7772549,19,M,BGD 3,Y,N,1150.0,Fall 2008,Spring 2009,On Campus,0,150.0,2.97,SCHOOL 213,High School,High School,Bachelors,15,15,15.0,15.0,0,0,0,0.0,3.3333333333333335,2.6666666666666665,6,0,0,1.0,1.0,30.0,30.0,1.0,0.0,0.0,0,0.0,Business
7903080,17,M,BGD 3,Y,N,950.0,Fall 2007,Spring 2008,Off Campus,1,0.0,3.07,SCHOOL 1,College/Beyond,High School,Bachelors,12,12,11.0,11.0,0,0,0,-217920.0,3.3333333333333335,2.6666666666666665,6,0,0,1.0,1.0,23.0,23.0,1.0,0.0,-inf,0,-217920.0,Undeclared
7914119,17,F,BGD 1,Y,N,990.0,Fall 2007,Spring 2008,Off Campus,1,69.0,3.22,SCHOOL 10,High School,College/Beyond,Bachelors,12,12,13.0,13.0,875340,1189920,314580,548460.0,2.6666666666666665,2.3333333333333335,6,0,0,1.0,1.0,25.0,25.0,1.0,0.26437071399757966,0.46092174263816055,875340,1423800.0,Undeclared
7948301,17,F,BGD 1,Y,N,990.0,Fall 2008,Spring 2009,Off Campus,1,69.0,3.33,SCHOOL 10,High School,College/Beyond,Bachelors,13,13,13.0,13.0,1016880,1355760,338880,459300.0,3.0,2.6666666666666665,6,0,0,1.0,1.0,26.0,26.0,1.0,0.2499557443795362,0.3387767746503806,1016880,1476180.0,Social Sciences
7788398,18,F,BGD 1,Y,N,950.0,Fall 2009,Spring 2010,Off Campus,1,69.0,3.06,SCHOOL 10,College/Beyond,High School,Bachelors,14,14,16.0,12.0,559620,1324500,764880,151200.0,3.0,2.3333333333333335,6,0,0,1.0,0.75,30.0,26.0,0.8666666666666667,0.5774858437146093,0.11415628539071347,559620,710820.0,STEM
7834896,18,F,BGD 1,Y,N,1110.0,Fall 2006,Spring 2007,Off Campus,1,69.0,3.47,SCHOOL 2,College/Beyond,College/Beyond,Bachelors,14,14,13.0,13.0,0,0,0,0.0,2.6666666666666665,2.6666666666666665,6,0,0,1.0,1.0,27.0,27.0,1.0,0.0,0.0,0,0.0,Social Sciences
8033851,18,F,BGD 3,N,N,950.0,Fall 2006,Spring 2007,On Campus,0,176.0,3.07,SCHOOL 111,High School,High School,Bachelors,15,15,16.0,13.0,0,0,0,0.0,3.0,2.3333333333333335,6,0,0,1.0,0.8125,31.0,28.0,0.9032258064516129,0.0,0.0,0,0.0,Health
7927122,18,F,BGD 6,Y,N,990.0,Fall 2007,Spring 2008,On Campus,1,69.0,2.83,SCHOOL 151,Middle School/Junior High,High School,Bachelors,12,12,18.0,18.0,304200,1245480,941280,265500.0,3.0,2.3333333333333335,6,0,0,1.0,1.0,30.0,30.0,1.0,0.7557568166490028,0.213170825705752,304200,569700.0,STEM
8006590,18,M,BGD 3,Y,N,950.0,Fall 2008,Spring 2009,On Campus,1,69.0,3.63,SCHOOL 11,High School,College/Beyond,Bachelors,14,10,14.0,14.0,0,0,0,0.0,2.6666666666666665,2.3333333333333335,6,0,0,0.7142857142857143,1.0,28.0,24.0,0.8571428571428571,0.0,0.0,0,0.0,STEM
7809227,18,F,BGD 3,Y,N,1030.0,Fall 2010,Spring 2011,On Campus,1,150.0,3.0,SCHOOL 291,High School,College/Beyond,Bachelors,13,13,15.0,15.0,0,0,0,0.0,2.6666666666666665,2.3333333333333335,6,0,0,1.0,1.0,28.0,28.0,1.0,0.0,0.0,0,0.0,Health
7756965,18,M,BGD 3,Y,N,1150.0,Fall 2009,Spring 2010,On Campus,1,90.0,2.5,SCHOOL 298,High School,High School,Bachelors,16,16,14.0,14.0,1418100,1418100,0,498245.4,2.6666666666666665,2.6666666666666665,6,0,0,1.0,1.0,30.0,30.0,1.0,0.0,0.35134715464353716,1418100,1916345.4,STEM
8005707,18,F,BGD 1,Y,N,1110.0,Fall 2005,Spring 2006,Off Campus,1,0.0,3.66,SCHOOL 1,High School,High School,Bachelors,12,12,10.0,10.0,0,0,0,0.0,2.6666666666666665,2.3333333333333335,6,0,0,1.0,1.0,22.0,22.0,1.0,0.0,0.0,0,0.0,Undeclared
7883847,18,F,BGD 1,Y,N,990.0,Fall 2006,Spring 2007,On Campus,1,150.0,2.83,SCHOOL 12,High School,High School,Bachelors,15,15,15.0,12.0,761760,1176420,414660,174600.0,2.6666666666666665,2.3333333333333335,6,0,0,1.0,0.8,30.0,27.0,0.9,0.3524761564747284,0.14841638190442188,761760,936360.0,Social Sciences
7797525,18,M,BGD 1,Y,N,1190.0,Fall 2005,Spring 2006,On Campus,1,190.0,3.5,SCHOOL 60,No Information,High School,Bachelors,15,15,17.0,14.0,1146420,1146420,0,376740.0,3.0,2.0,6,0,0,1.0,0.8235294117647058,32.0,29.0,0.90625,0.0,0.3286230177421887,1146420,1523160.0,Arts & Humanities
7978452,18,F,BGD 1,Y,N,870.0,Fall 2005,Spring 2006,Off Campus,0,69.0,3.06,SCHOOL 27,High School,High School,Bachelors,12,12,12.0,12.0,766560,1151640,385080,314100.0,3.0,2.6666666666666665,6,0,0,1.0,1.0,24.0,24.0,1.0,0.33437532562259037,0.2727414817130353,766560,1080660.0,Business
8006005,17,M,BGD 4,Y,N,910.0,Fall 2006,Spring 2007,Off Campus,1,0.0,2.67,SCHOOL 1,College/Beyond,High School,Bachelors,12,11,12.0,9.0,0,0,0,0.0,2.6666666666666665,2.3333333333333335,6,0,0,0.9166666666666666,0.75,24.0,20.0,0.8333333333333334,0.0,0.0,0,0.0,Health
7847915,17,F,BGD 1,N,Y,1070.0,Fall 2006,Spring 2007,Off Campus,1,69.0,3.26,SCHOOL 16,No Information,No Information,Bachelors,13,13,16.0,16.0,0,240120,0,-215340.0,2.6666666666666665,2.0,6,0,0,1.0,1.0,29.0,29.0,1.0,0.0,-0.8968015992003998,240120,-215340.0,Arts & Humanities
7879442,18,M,BGD 3,Y,N,1030.0,Fall 2008,Spring 2009,Off Campus,0,0.0,3.43,SCHOOL 1,College/Beyond,College/Beyond,Bachelors,16,16,13.0,13.0,1264860,1264860,0,423420.0,2.6666666666666665,2.0,6,0,0,1.0,1.0,29.0,29.0,1.0,0.0,0.3347564157298041,1264860,1688280.0,STEM
